"year","last_name, first_name","player_id","attempts","avg_hit_angle","anglesweetspotpercent","max_hit_speed","avg_hit_speed","ev50","fbld","gb","max_distance","avg_distance","avg_hr_distance","ev95plus","ev95percent","barrels","brl_percent","brl_pa"
2022,"Goldschmidt, Paul",502671,424,15.7,31.8,112.3,90.8,102.2,95.6,86.7,429,179,399,201,47.4,49,11.6,7.5
2022,"Hoskins, Rhys",656555,424,18.1,37.3,112.2,90.1,100.8,94.2,85.5,441,186,390,188,44.3,47,11.1,7
2022,"Vaughn, Andrew",683734,419,7.5,34.1,112.1,90.8,101.2,94.7,88.3,444,157,402,203,48.6,33,7.9,5.9
2022,"Kiner-Falefa, Isiah",643396,419,4.3,29.4,109.8,86.2,96.6,90.1,85.1,404,125,378,126,30.1,5,1.2,0.9
2022,"Murphy, Sean",669221,418,11.5,34.7,114,88.7,101.1,95.3,83.9,454,166,411,173,41.4,44,10.5,7.2
2022,"Springer, George",543807,418,13.9,31.8,113.6,88.7,101.3,93.7,85.9,439,162,395,177,42.3,35,8.4,6
2022,"Kirk, Alejandro",672386,416,8.1,32,110.1,90.5,101.1,94.1,88.6,420,151,390,189,45.4,28,6.7,5.2
2022,"Cron, C.J.",543068,416,14.2,36.8,115.5,88.7,101.4,93.5,84.1,504,180,426,176,42.3,45,10.8,7.1
2022,"Smith, Will",669257,416,18.4,36.8,109,89.9,99.8,93.7,83.9,465,201,405,179,43,43,10.3,7.4
2022,"Yelich, Christian",592885,416,3.6,30.3,117.2,91.5,103,95.3,89.7,499,129,415,202,48.6,34,8.2,5.1
2022,"Díaz, Yandy",650490,414,7.7,30.7,114.3,92.2,103.1,95.1,92,434,151,400,203,49,20,4.8,3.6
2022,"Rojas, Miguel",500743,414,10.1,33.1,109.1,86.1,96.2,89.2,84.8,400,149,381,112,27.1,8,1.9,1.6
2022,"Urshela, Gio",570482,412,11.8,38.6,110.3,88.9,99.1,92,86.3,434,171,399,155,37.6,29,7,5.3
2022,"Rengifo, Luis",650859,411,9.9,31.1,109.3,86.9,98.1,90.6,85.7,434,145,398,138,33.6,22,5.4,4.3
2022,"Tellez, Rowdy",642133,411,15.3,31.4,116.9,91.1,102.6,94.6,90.2,453,178,404,189,46,53,12.9,8.8
2022,"Báez, Javier",595879,411,9.6,29.7,112.1,87.9,99.7,93.3,85,459,148,393,156,38,33,8,5.6
2022,"Mountcastle, Ryan",663624,408,15.9,39.5,112,91.3,101.9,94.3,88.1,437,188,407,189,46.3,61,15,10
2022,"Estrada, Thairo",642731,405,8.1,31.1,109.3,86.2,97.1,91.4,83.1,418,138,394,126,31.1,18,4.4,3.3
2022,"Correa, Carlos",621043,405,11.6,35.3,114.6,89.9,102,95.1,85.8,458,171,408,181,44.7,46,11.4,7.8
2022,"Reynolds, Bryan",668804,403,12,35.5,113.2,90.2,100.9,93.2,87.2,442,165,400,173,42.9,32,7.9,5.2
2022,"Adames, Willy",642715,401,18.9,36.4,110.6,88.9,100.1,94.6,82.3,442,191,401,175,43.6,52,13,8.4
2022,"Torres, Gleyber",650402,401,17.5,36.2,111.3,90.4,100.5,94.6,85.6,438,188,383,181,45.3,43,10.7,7.5
2022,"Judge, Aaron",592450,400,15,39,118.4,95.9,107.1,100.3,89.2,465,206,412,247,61.8,106,26.5,15.2
2022,"LeMahieu, DJ",518934,399,3,32.6,110.9,89.2,99.5,94.2,85.8,411,141,378,163,41.1,21,5.3,3.9
2022,"Drury, Brandon",592273,396,13.8,34.8,112.4,89.1,100.6,92.7,86.5,468,173,393,167,42.2,41,10.4,7.2
2022,"Castellanos, Nick",592206,396,14.6,36.9,110.1,87.5,98.4,92.1,84,436,172,398,139,35.1,26,6.6,4.7
2022,"Marte, Ketel",606466,396,13.5,31.6,115,90.1,101.2,92.3,90.1,438,167,405,166,41.9,24,6.1,4.3
2022,"Pollock, AJ",572041,395,11.6,32.7,110.8,88.8,100.4,94.9,84.9,432,152,391,166,42,37,9.4,7
2022,"McCutchen, Andrew",457705,395,13.2,36.2,110.6,89.1,99.9,93.5,84.8,444,169,395,158,40,34,8.6,5.9
2022,"Martinez, J.D.",502110,393,14.1,42,111.6,89.1,100.9,94.2,83.1,422,187,402,164,41.7,49,12.5,8.2
2022,"Varsho, Daulton",662139,393,14.9,32.8,110.3,87.7,99.2,93.9,82.2,451,172,402,140,35.6,40,10.2,6.8
2022,"Pham, Tommy",502054,392,7.7,33.2,112.6,92.2,102.5,94.8,90.6,437,157,401,190,48.5,31,7.9,5
2022,"Peña, Jeremy",665161,392,8.7,32.9,110.5,88.1,99.8,93.6,83.7,429,156,396,144,36.7,38,9.7,6.8
2022,"Realmuto, J.T.",592663,390,13.1,35.6,110.4,90.3,101.3,94.4,87.1,424,167,389,184,47.2,44,11.3,7.8
2022,"Benintendi, Andrew",643217,390,12.6,39.2,109.8,89.2,98.2,92,86.6,433,167,401,151,38.7,20,5.1,3.8
2022,"Mancini, Trey",641820,389,12.7,39.6,111.8,89.5,100.1,93.3,86.6,438,179,385,157,40.4,38,9.8,6.5
2022,"Turner, Justin",457759,387,18.4,40.6,108.9,89.5,99,92.2,85.8,414,191,393,157,40.6,31,8,5.8
2022,"Iglesias, Jose",578428,386,6,30.6,109.9,83.8,95.6,84.5,84.3,432,129,404,107,27.7,2,0.5,0.4
2022,"Giménez, Andrés",665926,386,11.7,30.8,109.9,87.8,99,92.5,85.5,422,146,398,146,37.8,24,6.2,4.3
2022,"Espinal, Santiago",669289,385,14.1,33.8,107.5,86.1,96.8,88.5,86.6,407,152,383,122,31.7,13,3.4,2.6
2022,"Hayes, Ke'Bryan",663647,385,5.2,30.6,113,91,102.3,93,91.4,425,142,395,180,46.8,15,3.9,2.7
2022,"Lopez, Nicky",670032,384,4.9,31,106.7,84.9,94.9,88.9,83.1,396,126,NA,88,22.9,6,1.6,1.3
2022,"Grichuk, Randal",545341,381,8.7,27.3,111.6,90,101.6,93.2,88.7,462,153,411,166,43.6,26,6.8,4.8
2022,"Ward, Taylor",621493,380,15.8,41.8,112.6,90,100.2,93.7,86.8,425,193,405,163,42.9,47,12.4,8.3
2022,"Schwarber, Kyle",656941,379,19.2,35.4,114.8,93.3,104.8,99.3,87,468,200,412,206,54.4,76,20.1,11.4
2022,"Schoop, Jonathan",570731,378,9.7,29.1,111.6,87,100,92.1,84.8,430,147,391,146,38.6,18,4.8,3.5
2022,"McMahon, Ryan",641857,374,10.8,36.1,113.7,91.7,102.1,95.4,87.4,495,173,425,174,46.5,39,10.4,6.5
2022,"Naylor, Josh",647304,374,10.3,28.9,113,89.4,101.1,94.4,86.5,421,151,393,160,42.8,32,8.6,6.4
2022,"Chapman, Matt",656305,373,19,34,112.7,92.2,102.9,96.3,90.2,432,186,404,191,51.2,48,12.9,7.7
2022,"Gurriel Jr., Lourdes",666971,372,10.9,34.7,109.5,90.6,100.4,93.3,89.6,431,158,397,170,45.7,14,3.8,2.8
2022,"Escobar, Eduardo",500871,372,20.6,38.7,111.5,88.3,99.3,92.6,83,432,197,395,140,37.6,35,9.4,6.5
2022,"Thomas, Lane",657041,371,12.5,32.6,110.1,86.4,98.4,93,82.9,431,152,392,128,34.5,24,6.5,4.4
2022,"Alvarez, Yordan",670541,371,12.3,40.7,117.4,95.2,105.7,98.1,91.7,469,196,405,222,59.8,78,21,13.9
2022,"Marte, Starling",516782,369,7.5,38.5,113.3,86.8,99.2,91.9,82.9,444,146,405,125,33.9,25,6.8,5
2022,"Canha, Mark",592192,369,10.9,32.2,108,87.7,98.3,91,86.1,423,152,394,135,36.6,18,4.9,3.3
2022,"Rodríguez, Julio",677594,367,10.1,32.7,117.2,92,103.7,96.2,89.5,450,161,397,186,50.7,48,13.1,8.6
2022,"Rizzo, Anthony",519203,366,19.3,33.9,113.3,89.4,99.6,93.5,85.3,435,190,393,150,41,40,10.9,7.3
2022,"Bellinger, Cody",641355,360,20.3,34.4,107.3,89.4,98.1,92.3,86.3,431,184,393,137,38.1,30,8.3,5.5
2022,"Renfroe, Hunter",592669,358,17.7,32.4,112.5,90.5,101.6,94.6,88.3,447,180,407,156,43.6,39,10.9,7.5
2022,"Winker, Jesse",608385,356,16.8,31.7,110,87.7,98.7,90.3,87.5,446,163,407,122,34.3,27,7.6,4.9
2022,"Rojas, Josh",668942,355,11.9,33.2,109.1,88.8,98.1,92,85,430,163,398,128,36.1,16,4.5,3.1
2022,"Brown, Seth",664913,355,15.8,34.9,112.9,89.2,101.7,94.1,84.9,452,185,403,147,41.4,46,13,8.3
2022,"Miranda, Jose",669304,354,13.8,34.2,109.4,89.3,99.8,93.8,86.3,428,164,387,150,42.4,22,6.2,4.6
2022,"Suárez, Eugenio",553993,352,19.9,36.4,111.4,89.8,100.7,94.5,83.1,441,199,403,153,43.5,52,14.8,8.3
2022,"Mateo, Jorge",622761,352,14.8,35.5,111.3,86.8,98.6,91.2,83.4,412,168,393,115,32.7,21,6,3.9
2022,"Ozuna, Marcell",542303,352,16.5,31.8,113.9,89.4,101.8,95,84.4,458,178,414,154,43.8,46,13.1,9.1
2022,"Yastrzemski, Mike",573262,351,19.9,36.2,109.7,89.9,99.8,93.5,86.7,430,184,400,149,42.5,39,11.1,7
2022,"Aguilar, Jesús",542583,350,19.1,39.7,108.1,87.7,98.5,91,85.4,439,190,402,126,36,24,6.9,4.7
2022,"Wong, Kolten",543939,349,14,33.2,109.7,87,97.7,89.8,85.7,415,158,382,124,35.5,19,5.4,3.8
2022,"Ruiz, Keibert",660688,347,14.9,36,109.4,88,97.3,90.7,86.1,424,172,394,112,32.3,13,3.7,3
2022,"Hernández, Teoscar",606192,347,11.6,36.3,114.1,92.6,103.4,98.3,87,464,173,410,185,53.3,52,15,9.7
2022,"Castro, Harold",605612,346,11.4,41.6,107.3,87,97.1,92.3,81.1,423,165,393,115,33.3,21,6.1,4.7
2022,"Santana, Carlos",467793,345,15.4,31.6,111.3,90.7,101,93.7,89.7,434,170,401,155,44.9,32,9.3,6.3
2022,"Acuña Jr., Ronald",660670,344,10.8,32.8,116.6,91.2,103.8,95.6,88,464,154,428,171,49.7,44,12.8,8.3
2022,"Carlson, Dylan",666185,342,12.9,35.7,109.2,86.1,96.3,90.7,81.2,431,168,401,93,27.2,15,4.4,3.1
2022,"Perdomo, Geraldo",672695,342,12.1,28.1,104.7,85,95.3,89.1,83.3,417,132,395,86,25.1,7,2,1.4
2022,"Miller, Owen",680911,340,10.1,35,109.1,85.8,97.3,90.3,82.2,423,155,393,106,31.2,12,3.5,2.5
2022,"Stott, Bryson",681082,340,13.1,29.4,108.4,88.1,98,90.9,87.5,415,149,384,125,36.8,15,4.4,3.2
2022,"Perez, Salvador",521692,339,17.8,34.8,112.5,91.4,101.5,95.2,87.6,454,190,407,166,49,38,11.2,8
2022,"Dozier, Hunter",641531,338,13.1,33.1,110.7,88.5,100,93.1,85.2,429,165,398,130,38.5,26,7.7,5.2
2022,"Donaldson, Josh",518626,336,12,34.8,111.7,90.7,101,95.2,86.3,429,165,398,145,43.3,33,9.8,6
2022,"Melendez, MJ",669004,336,15.1,31,110.8,90.7,100.6,94.4,87.6,437,176,412,146,43.5,35,10.4,6.6
2022,"Ramírez, Harold",623912,335,4.8,32.2,113.7,88.5,101.1,91.6,87.7,432,139,367,138,41.2,16,4.8,3.7
2022,"Tapia, Raimel",606132,334,4,27.5,111.7,87.6,99.7,91,85.9,441,130,397,127,38,17,5.1,3.9
2022,"Vázquez, Christian",543877,332,10.7,36.1,109.5,87.9,97.8,91.2,86.1,419,156,389,121,36.4,17,5.1,4
2022,"Cruz, Nelson",443558,332,7.2,28,113.8,90.9,102.3,94.2,89.3,440,139,408,153,46.1,31,9.3,6.1
2022,"Peralta, David",444482,331,15.1,35,113,90.3,101.2,93.4,89.3,452,180,411,147,44.4,28,8.5,5.7
2022,"Muncy, Max",571970,329,20.9,34.3,111.2,90.3,100.5,96,81.7,443,202,391,150,45.6,44,13.4,7.8
2022,"Lux, Gavin",666158,329,6.8,34,108.1,88,98.9,93.3,83.8,431,148,411,131,39.8,20,6.1,4.2
2022,"Voit, Luke",572228,327,18.4,34.6,111.3,89.8,101.4,95.4,80.6,452,191,406,145,44.3,48,14.7,8.5
2022,"Kepler, Max",596146,326,11.2,31.9,113.8,89.1,100.1,92.8,86.7,423,156,399,130,39.9,23,7.1,5.2
2022,"Candelario, Jeimer",600869,324,13.5,37,111.3,87.2,98.4,93,82.8,445,163,400,112,34.6,27,8.3,5.8
2022,"Donovan, Brendan",680977,324,6,32.7,107,87.7,98.1,91.4,85.4,418,141,391,122,37.7,11,3.4,2.4
2022,"Odor, Rougned",596059,321,21.5,30.2,109.7,87.8,98.2,92.9,84.6,431,176,401,107,33.3,21,6.5,4.4
2022,"Heim, Jonah",641680,321,17,29.6,112.4,89.3,99.4,92.6,89.1,427,168,385,128,39.9,22,6.9,4.9
2022,"Daza, Yonathan",602074,320,4.6,33.8,106,84.8,95.2,86.9,83.7,422,132,408,80,25,6,1.9,1.5
2022,"Harrison, Josh",543281,319,14.7,32,106,87.4,96.8,89.8,86.5,414,160,381,103,32.3,12,3.8,2.8
2022,"Hosmer, Eric",543333,317,3.1,29.3,112.9,88.4,101.2,91.4,88.2,412,124,395,126,39.7,18,5.7,4.3
2022,"Rutschman, Adley",668939,315,15.6,35.6,110.9,87.9,99,93,84.3,439,175,396,116,36.8,25,7.9,5.3
2022,"Contreras, Willson",575929,315,8.5,30.2,116.2,90.4,103.2,97.1,86.4,453,149,401,151,48.6,33,10.5,6.8
2022,"Crawford, Brandon",543063,313,12.3,31,109,88.1,97.9,92.1,85.7,418,154,392,110,35.1,21,6.7,4.6
2022,"Urías, Ramón",602104,312,11,31.7,110,89.4,100.7,94,86.9,432,153,404,145,46.5,30,9.6,6.7
2022,"Urías, Luis",649966,312,18,34.3,109.7,87.3,98,91.1,83.9,428,178,395,110,35.3,26,8.3,5.5
2022,"Thomas, Alek",677950,312,2.6,27.9,111.3,87.4,98.7,91.8,85.5,432,123,394,108,34.6,12,3.8,2.9
2022,"Grisham, Trent",663757,310,15.1,24.2,111.1,88.3,99.5,93.9,84.7,457,155,398,110,35.5,25,8.1,4.8
2022,"Taylor, Michael A.",572191,310,12.1,33.2,109.4,86.3,98,90.8,82.7,432,165,400,102,32.9,21,6.8,4.6
2022,"Gordon, Nick",624503,309,12.5,36.6,110.7,90.6,99.9,95.1,85.4,422,175,404,138,44.7,29,9.4,6.5
2022,"Harris II, Michael",671739,308,4.5,32.8,112.8,89.5,102.6,95.8,86,439,139,402,139,45.1,31,10.1,7
2022,"Joe, Connor",656582,308,10.6,35.1,110.1,85.3,97.6,89.3,83.4,444,155,399,104,33.8,14,4.5,3
2022,"d'Arnaud, Travis",518595,306,11.8,35,112.3,88.5,99.6,92.2,85.3,433,162,401,119,38.9,26,8.5,6.1
2022,"Robert Jr., Luis",673357,304,10,32.6,117.8,89.3,101.5,93.4,86.5,452,160,410,130,42.8,27,8.9,6.7
2022,"Cabrera, Miguel",408234,301,5,35.2,111,89.9,99.4,91.4,88.9,426,140,399,115,38.2,14,4.7,3.2
2022,"Wendle, Joey",621563,301,3,27.9,107.6,87.5,98,89.5,86.6,410,133,386,109,36.2,5,1.7,1.3
2022,"Cooper, Garrett",643265,300,8.8,39,112.6,89.6,101.3,94.3,84.3,446,170,410,131,43.7,32,10.7,6.8
2022,"Trout, Mike",545361,300,24.6,37.7,114.4,91.6,104.1,94.8,86.7,490,219,409,153,51,59,19.7,11.8
2022,"Senzel, Nick",669222,300,11.7,35,109.5,87.2,97.7,90.6,85.8,421,154,387,101,33.9,10,3.3,2.4
2022,"Franco, Maikel",596748,299,11.5,33.1,112.1,87,98.8,91,85.9,428,153,409,103,34.4,14,4.7,3.6
2022,"Nola, Austin",543592,297,12,35.4,109.1,89.4,99,91.1,89.5,401,165,395,118,39.7,7,2.4,1.8
2022,"Segura, Jean",516416,297,4.3,28.3,111,87.6,99.5,91.9,86.9,411,124,382,114,38.4,13,4.4,3.4
2022,"Sheets, Gavin",657757,294,14.8,32.3,109.7,88.6,98.9,92,87.4,422,168,392,106,36.1,19,6.5,4.6
2022,"Hernández, Enrique",571771,294,17.3,33.3,112.3,87.8,98.8,92.6,85.3,395,161,373,103,35,17,5.8,4.2
2022,"India, Jonathan",663697,292,14.5,35.6,111.3,85.1,97.4,88.6,82.8,447,159,399,84,28.8,14,4.8,3.2
2022,"Walls, Taylor",670764,291,16.6,32.6,105.7,86.3,96.1,91.1,81.1,406,171,382,83,28.5,18,6.2,3.9
2022,"Harper, Bryce",547180,290,11.8,37.2,114.3,92.1,103,95.8,87.9,460,176,404,139,47.9,37,12.8,8.7
2022,"Suzuki, Seiya",673548,290,11.2,36.9,111.3,89.6,100.2,92.5,87.5,436,171,397,119,41.3,32,11,7.2
2022,"Gonzalez, Oscar",660757,289,5.4,32.5,113.3,88.6,101,93.6,85.8,433,146,397,116,40.1,21,7.3,5.5
2022,"Wisdom, Patrick",621550,289,21,29.8,112.6,90.7,102.2,97.7,83.7,461,184,407,133,46.3,41,14.2,7.7
2022,"Sánchez, Gary",596142,288,14,29.2,115.1,90.5,103.2,95.9,87.3,473,167,412,142,49.3,39,13.5,8.3
2022,"Castro, Willi",650489,287,13.9,35.5,111.7,84.8,97.2,87.9,85.4,408,155,379,90,31.4,10,3.5,2.6
2022,"Grossman, Robbie",543257,286,21.1,38.5,105.8,86.7,96.2,90.8,80.6,418,190,382,87,30.4,10,3.5,2.1
2022,"Walsh, Jared",665120,285,10.7,34,112.1,90.1,100.9,94.1,87.8,427,159,387,121,42.5,27,9.5,5.9
2022,"Franco, Wander",677551,285,8.2,35.1,112.4,87.3,98.4,91.5,84.8,417,148,385,102,35.8,13,4.6,3.8
2022,"Moncada, Yoán",660162,285,15.7,35.1,111.5,88.7,99.5,92.7,84.9,437,178,410,107,37.5,28,9.8,6.5
2022,"Pederson, Joc",592626,284,14.8,34.2,112.8,93.2,103.3,96.4,90.5,441,192,407,148,52.1,43,15.1,9.9
2022,"Reyes, Franmil",614177,284,9.9,27.8,112.4,92,102.1,96.5,89,419,158,387,130,45.8,32,11.3,6.8
2022,"Polanco, Jorge",593871,284,21.7,37.3,111,89,99.9,93.1,83.1,451,196,402,110,38.7,29,10.2,6.5
2022,"García Jr., Luis",671277,281,5.5,37.4,113.4,87.3,99,94.2,81.6,442,149,412,103,36.7,21,7.5,5.6
2022,"Chavis, Michael",656308,279,11.1,33,111.3,85.4,99.5,92.2,81.3,424,157,398,108,38.7,21,7.5,4.9
2022,"Hicks, Aaron",543305,278,14.8,25.2,109.6,87.9,98.1,92.1,85.5,412,153,397,92,33.1,16,5.8,3.5
2022,"Robles, Victor",645302,277,15.8,28.2,109.7,84.6,96.2,88.4,82.6,413,143,391,66,23.8,9,3.2,2.2
2022,"Anderson, Tim",641313,277,3.3,37.5,108.7,88.2,99,92.7,84.9,411,138,385,114,41.2,16,5.8,4.6
2022,"Taylor, Tyrone",621438,274,16.9,34.7,109.3,88,99.2,92.9,83.2,435,181,404,103,37.6,27,9.9,6.7
2022,"Trevino, Jose",624431,274,13,31,109.4,87.9,98.4,91.5,85.1,423,164,393,96,35,14,5.1,4
2022,"Gamel, Ben",592325,274,11.3,37.6,109.2,88.8,99.3,91.5,86.8,418,166,390,103,37.6,17,6.2,4
2022,"Vogelbach, Daniel",596129,273,15.8,38.1,110.9,89.4,99.8,93.4,85.5,433,184,400,109,39.9,29,10.6,6.3
2022,"Marsh, Brandon",669016,272,10.9,40.8,109,89.2,99.6,92.6,85,449,170,403,104,38.2,20,7.4,4.3
