"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher_1","fielder_2_1","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SL",2022-07-15,87.5,-2.9,5.14,"Judge, Aaron",592450,656557,"","swinging_strike",NA,NA,NA,NA,14,"Aaron Judge grounds out, third baseman Rafael Devers to first baseman Bobby Dalbec.","R","R","R","NYY","BOS","S",NA,"",0,1,2022,0.59,0.18,1.46,1.86,NA,518934,NA,0,10,"Bot",NA,NA,NA,NA,543877,NA,NA,9.24850307751895,-127.191004130293,-2.12490810961093,4.52643101828616,26.1446826644816,-29.959735254901,3.93,1.92,NA,NA,NA,87.2,2633,6.1,661260,656557,543877,666915,669023,646240,593428,657077,598265,608701,54.36,NA,NA,NA,NA,NA,NA,NA,78,2,"Slider",4,4,4,4,4,4,4,4,"Standard","Standard",50,0,-0.076
"SL",2022-07-15,87,-2.96,5.09,"Judge, Aaron",592450,656557,"","called_strike",NA,NA,NA,NA,9,"Aaron Judge grounds out, third baseman Rafael Devers to first baseman Bobby Dalbec.","R","R","R","NYY","BOS","S",NA,"",0,0,2022,0.82,0.25,0.64,2.37,NA,518934,NA,0,10,"Bot",NA,NA,NA,NA,543877,NA,NA,6.94533918854236,-126.678146194072,-0.887426033554064,7.54388819614761,24.5201824161276,-29.4904749195232,3.93,1.97,NA,NA,NA,87.2,2681,6.3,661260,656557,543877,666915,669023,646240,593428,657077,598265,608701,54.22,NA,NA,NA,NA,NA,NA,NA,78,1,"Slider",4,4,4,4,4,4,4,4,"Standard","Standard",56,0,-0.055
"CH",2022-07-15,86.3,-1.62,5.47,"Judge, Aaron",592450,676477,"strikeout","called_strike",NA,NA,NA,NA,13,"Aaron Judge called out on strikes.","R","R","R","NYY","BOS","S",2,"",1,2,2022,-1.31,0.71,-0.07,1.62,NA,NA,NA,0,8,"Bot",NA,NA,NA,NA,543877,NA,NA,6.45603818850828,-125.506761912651,-4.43061074939334,-15.1611482816482,25.3671745102795,-23.9686862587197,3.93,1.83,NA,NA,NA,87.7,2130,7.2,661260,676477,543877,666915,669023,646240,593428,657077,598265,608701,53.31,NA,NA,0,1,0,0,NA,61,4,"Changeup",3,4,3,4,4,3,3,4,"Standard","Standard",252,-0.062,-0.158
"SL",2022-07-15,82.4,-1.75,5.35,"Judge, Aaron",592450,676477,"","swinging_strike",NA,NA,NA,NA,14,"Aaron Judge called out on strikes.","R","R","R","NYY","BOS","S",NA,"",1,1,2022,-0.01,-0.08,0.12,1.61,NA,NA,NA,0,8,"Bot",NA,NA,NA,NA,543877,NA,NA,4.33137911843948,-120.137786493983,-1.930374270011,-0.828522647785437,20.5877177079071,-32.7917448139382,3.93,1.92,NA,NA,NA,84.5,1907,7.3,661260,676477,543877,666915,669023,646240,593428,657077,598265,608701,53.23,NA,NA,NA,NA,NA,NA,NA,61,3,"Slider",3,4,3,4,4,3,3,4,"Standard","Standard",72,0,-0.054
"SI",2022-07-15,95.1,-1.57,5.43,"Judge, Aaron",592450,676477,"","called_strike",NA,NA,NA,NA,5,"Aaron Judge called out on strikes.","R","R","R","NYY","BOS","S",NA,"",1,0,2022,-1.36,1.11,0.13,2.71,NA,NA,NA,0,8,"Bot",NA,NA,NA,NA,543877,NA,NA,7.66793708718633,-138.217276213622,-3.98059053964199,-19.1106799546208,31.7445728108327,-17.3009016775234,4,2,NA,NA,NA,96.7,2264,7.3,661260,676477,543877,666915,669023,646240,593428,657077,598265,608701,53.16,NA,NA,NA,NA,NA,NA,NA,61,2,"Sinker",3,4,3,4,4,3,3,4,"Standard","Standard",230,0,-0.043
"SI",2022-07-15,94.5,-1.69,5.52,"Judge, Aaron",592450,676477,"","ball",NA,NA,NA,NA,13,"Aaron Judge called out on strikes.","R","R","R","NYY","BOS","B",NA,"",0,0,2022,-1.41,1.15,-1.03,2.47,NA,NA,NA,0,8,"Bot",NA,NA,NA,NA,543877,NA,NA,4.95449158937663,-137.449430932087,-4.87052694685216,-18.963221744771,31.5877525226281,-16.719538580065,4,1.9,NA,NA,NA,95.8,2276,7.1,661260,676477,543877,666915,669023,646240,593428,657077,598265,608701,53.35,NA,NA,NA,NA,NA,NA,NA,61,1,"Sinker",3,4,3,4,4,3,3,4,"Standard","Standard",228,0,0.033
"FF",2022-07-15,95.4,-2.7,5.3,"Judge, Aaron",592450,543135,"field_out","hit_into_play",NA,NA,NA,NA,7,"Aaron Judge lines out to right fielder Rob Refsnyder.","R","R","R","NYY","BOS","X",9,"line_drive",0,0,2022,-1.03,1.22,-0.44,2.52,NA,NA,518934,0,1,"Bot",164.4,79.96,NA,NA,543877,NA,NA,8.32937409995756,-138.594420572254,-4.43292447412625,-15.196282722944,32.1095090348112,-15.6143457288276,3.93,1.92,311,99.1,21,95.8,2101,6.7,661260,543135,543877,666915,669023,646240,593428,657077,598265,608701,53.81,0.323,0.406,0,1,0,0,5,9,1,"4-Seam Fastball",0,2,0,2,2,0,0,2,"Standard","Standard",233,-0.035,-0.353
"FF",2022-07-14,98.1,-3.05,5.15,"Judge, Aaron",592450,622491,"walk","ball",NA,NA,NA,NA,11,"Aaron Judge walks.","R","R","R","NYY","CIN","B",NA,"",3,0,2022,-1.04,1.25,-1.75,4.2,NA,NA,NA,1,6,"Bot",NA,NA,NA,NA,663886,NA,NA,5.83197887472359,-142.718069419204,0.0279827259895728,-15.5424130044487,33.3540083758022,-15.3354879555496,3.92,1.68,NA,NA,NA,96.7,2466,5.5,661261,622491,663886,458015,663697,592273,571657,502054,669222,656413,54.99,NA,NA,0.7,1,0,0,NA,44,4,"4-Seam Fastball",0,1,0,1,1,0,0,1,"Standard","Standard",237,0.045,0.111
"SI",2022-07-14,97.6,-3.09,5.03,"Judge, Aaron",592450,622491,"","ball",NA,NA,NA,NA,8,"Aaron Judge walks.","R","R","R","NYY","CIN","B",NA,"",2,0,2022,-1.56,0.54,0.26,1.78,NA,NA,NA,1,6,"Bot",NA,NA,NA,NA,663886,NA,NA,12.4002772729573,-141.564373272476,-4.39862040769284,-23.7541166138977,30.8050321286223,-24.0745769903619,3.97,1.87,NA,NA,NA,96.3,2184,5.6,661261,622491,663886,458015,663697,592273,571657,502054,669222,656413,54.91,NA,NA,NA,NA,NA,NA,NA,44,3,"Sinker",0,1,0,1,1,0,0,1,"Standard","Standard",240,0,0.086
"CH",2022-07-14,88.7,-3.11,4.93,"Judge, Aaron",592450,622491,"","ball",NA,NA,NA,NA,14,"Aaron Judge walks.","R","R","R","NYY","CIN","B",NA,"",1,0,2022,-1.55,0.04,0.02,1.23,NA,NA,NA,1,6,"Bot",NA,NA,NA,NA,663886,NA,NA,10.6961849044669,-128.757708821797,-3.04245931043539,-19.4175099000028,25.6764440599492,-31.3394199431804,3.9,1.82,NA,NA,NA,87.3,1975,5.5,661261,622491,663886,458015,663697,592273,571657,502054,669222,656413,55.04,NA,NA,NA,NA,NA,NA,NA,44,2,"Changeup",0,1,0,1,1,0,0,1,"Standard","Standard",253,0,0.044
